FL_DATE,CARRIER,CARRIER_NAME,FL_NUM,ORIGIN_AIRPORT,ORIGIN_CITY_NAME,DEST_AIRPORT,DEST_CITY_NAME,DEP_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/4/2017,NK,Spirit Air Lines,295,Chicago O'Hare International,"Chicago, IL",George Bush Intercontinental/Houston,"Houston, TX",1945,2220,0,,131,925,,,,,
1/4/2017,NK,Spirit Air Lines,357,Chicago O'Hare International,"Chicago, IL",McCarran International,"Las Vegas, NV",938,1147,0,,232,1514,0,0,23,0,0
1/4/2017,NK,Spirit Air Lines,368,Chicago O'Hare International,"Chicago, IL",Baltimore/Washington International Thurgood Marshall,"Baltimore, MD",808,1050,0,,81,622,,,,,
1/4/2017,NK,Spirit Air Lines,409,Chicago O'Hare International,"Chicago, IL",Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",512,904,0,,153,1182,,,,,
1/4/2017,NK,Spirit Air Lines,425,Chicago O'Hare International,"Chicago, IL",Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",1839,2231,0,,151,1182,,,,,
1/4/2017,NK,Spirit Air Lines,478,Chicago O'Hare International,"Chicago, IL",Denver International,"Denver, CO",1210,1414,0,,140,888,0,0,15,0,0
1/4/2017,NK,Spirit Air Lines,563,Chicago O'Hare International,"Chicago, IL",San Diego International,"San Diego, CA",1058,1337,0,,257,1723,0,0,28,0,0
1/4/2017,OO,SkyWest Airlines Inc.,3111,Chicago O'Hare International,"Chicago, IL",Charlottesville Albemarle,"Charlottesville, VA",1146,1416,0,,71,566,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3112,Chicago O'Hare International,"Chicago, IL",Charlottesville Albemarle,"Charlottesville, VA",1452,1723,0,,76,566,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3113,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",843,923,0,,20,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3114,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",701,914,0,,104,588,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3115,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",952,1154,0,,98,588,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3120,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",1700,1749,0,,25,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3121,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",1821,1902,0,,21,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3122,Chicago O'Hare International,"Chicago, IL",Charlottesville Albemarle,"Charlottesville, VA",2138,10,0,,76,566,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3123,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",1319,1520,0,,106,588,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3124,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",2020,2232,0,,98,588,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3125,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",1510,1551,0,,22,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,3127,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",1957,2047,0,,20,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,4478,Chicago O'Hare International,"Chicago, IL",Salt Lake City International,"Salt Lake City, UT",721,1029,0,,216,1250,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,4596,Chicago O'Hare International,"Chicago, IL",Minneapolis-St Paul International,"Minneapolis, MN",644,818,0,,64,334,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5003,Chicago O'Hare International,"Chicago, IL",Fort Wayne International,"Fort Wayne, IN",1913,2104,0,,27,157,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5011,Chicago O'Hare International,"Chicago, IL",Fort Wayne International,"Fort Wayne, IN",726,921,0,,36,157,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5012,Chicago O'Hare International,"Chicago, IL",MBS International,"Saginaw/Bay City/Midland, MI",1346,1555,0,,47,222,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5016,Chicago O'Hare International,"Chicago, IL",Muskegon County,"Muskegon, MI",,,1,B,,118,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5030,Chicago O'Hare International,"Chicago, IL",Duluth International,"Duluth, MN",851,1022,0,,72,397,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5060,Chicago O'Hare International,"Chicago, IL",Asheville Regional,"Asheville, NC",1909,2150,0,,73,536,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5061,Chicago O'Hare International,"Chicago, IL",Houghton County Memorial,"Hancock/Houghton, MI",2104,2336,0,,69,360,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5062,Chicago O'Hare International,"Chicago, IL",Chippewa Valley Regional,"Eau Claire, WI",1159,1311,0,,57,269,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5063,Chicago O'Hare International,"Chicago, IL",Fort Wayne International,"Fort Wayne, IN",1547,1731,0,,28,157,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5064,Chicago O'Hare International,"Chicago, IL",MBS International,"Saginaw/Bay City/Midland, MI",650,852,0,,44,222,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5069,Chicago O'Hare International,"Chicago, IL",Barkley Regional,"Paducah, KY",1446,1559,0,,55,342,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5070,Chicago O'Hare International,"Chicago, IL",Barkley Regional,"Paducah, KY",2100,2207,0,,50,342,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5071,Chicago O'Hare International,"Chicago, IL",Abraham Lincoln Capital,"Springfield, IL",927,1020,0,,34,174,1,0,0,0,22
1/4/2017,OO,SkyWest Airlines Inc.,5072,Chicago O'Hare International,"Chicago, IL",Abraham Lincoln Capital,"Springfield, IL",2054,2144,0,,33,174,,,,,
