"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"Kepler-1558","b","Kepler-1558 b","Transit",2016,3.50470358,NA,NA,0.244,0.68,4.26,NA,189.89,1,343,13.6,"",5101,4.57,-0.487,0.83,0.79,0,"[Fe/H]",4.9
"Kepler-1559","b","Kepler-1559 b","Transit",2016,0.97191543,NA,NA,0.299,0.72,4.4,NA,1620.06,1,580,14.488,"",5316,4.55,-0.297,0.86,0.82,-0.04,"[Fe/H]",4.27
"Kepler-156","b","Kepler-156 b","Transit",2014,4.973456,0.054,NA,5.9,2.3,2.66,NA,135.08,1,439,14.156,"",5094,4.55,-0.441,0.84,0.81,0.04,"[Fe/H]",5.37
"Kepler-156","c","Kepler-156 c","Transit",2014,15.906801,0.117,NA,7.04,2.55,2.33,NA,28.64,1,439,14.156,"",5094,4.55,-0.441,0.84,0.81,0.04,"[Fe/H]",5.37
"Kepler-1560","b","Kepler-1560 b","Transit",2016,3.03195744,NA,NA,0.64,0.89,4.99,NA,593.92,1,529,13.385,"",5815,4.43,-0.059,1.02,1.02,0.04,"[Fe/H]",4.17
"Kepler-1561","b","Kepler-1561 b","Transit",2016,1.00520701,NA,NA,1.32,1.09,5.6,NA,2364.81,1,993,14.648,"",5957,4.38,-0.101,1.07,1.11,0.04,"[Fe/H]",3.39
"Kepler-1562","b","Kepler-1562 b","Transit",2016,64.2737752,NA,NA,12.3,3.55,1.51,NA,31.77,1,1315,15.273,"",5760,4.41,0.446,1.02,1.05,0.11,"[Fe/H]",4.79
"Kepler-1563","b","Kepler-1563 b","Transit",2016,3.43276598,NA,NA,0.347,0.75,4.52,NA,NA,1,547,13.568,"",5765,4.45,-0.01,1,0.99,0.02,"[Fe/H]",4.07
"Kepler-1564","b","Kepler-1564 b","Transit",2016,18.0540381,NA,NA,2.76,1.47,4.77,NA,41.51,1,872,14.953,"",5528,4.5,-0.151,0.93,0.9,0.03,"[Fe/H]",4.57
"Kepler-1565","b","Kepler-1565 b","Transit",2016,1.53818844,NA,NA,1.81,1.19,5.9,NA,510.57,1,657,15.432,"",4940,4.6,-0.623,0.76,0.73,-0.16,"[Fe/H]",5.62
"Kepler-1566","b","Kepler-1566 b","Transit",2016,0.53991524,NA,NA,0.418,0.79,4.66,NA,2340.98,1,511,14.312,"",5254,4.56,-0.47,0.84,0.81,-0.07,"[Fe/H]",5.01
"Kepler-1567","b","Kepler-1567 b","Transit",2016,153.979578,NA,NA,7.9,2.73,2.13,NA,2.72,1,1226,15.632,"",5655,4.49,-0.162,0.95,0.93,-0.03,"[Fe/H]",4.17
"Kepler-1568","b","Kepler-1568 b","Transit",2016,20.925392,NA,NA,2.24,1.3,5.6,NA,72.57,1,883,13.945,"",5956,4.32,0.24,1.09,1.19,0.09,"[Fe/H]",4.57
"Kepler-1569","b","Kepler-1569 b","Transit",2016,5.79180156,NA,NA,3.46,1.68,4.01,NA,495.65,1,1050,13.932,"",6319,4.24,0.274,1.25,1.4,0.06,"[Fe/H]",2.45
"Kepler-157","b","Kepler-157 b","Transit",2014,1.732342,0.028,NA,2.3,1.32,5.5,NA,1572.31,1,749,14.037,"",5774,4.39,0.054,1.02,1.04,-0.01,"[Fe/H]",4.07
"Kepler-157","c","Kepler-157 c","Transit",2014,13.5405,0.11,NA,5.65,2.24,2.76,NA,101.75,1,749,14.037,"",5774,4.39,0.054,1.02,1.04,-0.01,"[Fe/H]",4.07
"Kepler-157","d","Kepler-157 d","Transit",2016,7.02573474,NA,NA,2.73,1.46,4.82,NA,244.06,1,749,14.037,"",5774,4.39,0.054,1.02,1.04,-0.01,"[Fe/H]",4.07
"Kepler-1570","b","Kepler-1570 b","Transit",2016,26.548955,NA,NA,1.24,1.07,5.56,NA,76.46,1,463,13.97,"",5550,4.5,0.281,0.92,0.89,-0.04,"[Fe/H]",4.17
"Kepler-1571","b","Kepler-1571 b","Transit",2016,3.38555488,NA,NA,2.92,1.52,4.57,NA,757.13,1,802,13.77,"",6297,4.24,0.067,1.23,1.39,0.04,"[Fe/H]",2.34
"Kepler-1572","b","Kepler-1572 b","Transit",2016,5.49548621,NA,NA,0.779,0.94,5.15,NA,583.52,1,600,13.718,"",5618,4.47,0.36,0.97,0.95,0.08,"[Fe/H]",4.79
"Kepler-1573","b","Kepler-1573 b","Transit",2016,2.6157554,NA,NA,1.87,1.2,5.95,NA,1343.11,1,1180,15.169,"",5808,4.44,0.165,1.01,1,0.02,"[Fe/H]",4.07
"Kepler-1574","b","Kepler-1574 b","Transit",2016,6.9424334,NA,NA,2.21,1.29,5.66,NA,289.78,1,1275,15.094,"",5892,4.4,0.153,1.06,1.08,0.08,"[Fe/H]",3.8
"Kepler-1575","b","Kepler-1575 b","Transit",2016,2.55314213,NA,NA,2.27,1.31,5.55,NA,803.68,1,1170,15.418,"",5667,4.49,-0.059,0.95,0.92,-0.07,"[Fe/H]",4.17
"Kepler-1576","b","Kepler-1576 b","Transit",2016,6.98471973,NA,NA,1.12,1.04,5.47,NA,156.61,1,539,13.335,"",5876,4.4,-0.11,1.05,1.06,0.05,"[Fe/H]",4.07
"Kepler-1577","b","Kepler-1577 b","Transit",2016,6.30560247,NA,NA,1.51,1.13,5.75,NA,57.75,1,543,15.057,"",4862,4.6,-0.674,0.78,0.74,0,"[Fe/H]",4.27
"Kepler-1578","b","Kepler-1578 b","Transit",2016,1.45088691,NA,NA,1.12,1.04,5.47,NA,1486.44,1,1016,15.328,"",5545,4.53,-0.176,0.9,0.86,-0.13,"[Fe/H]",4.27
"Kepler-1579","b","Kepler-1579 b","Transit",2016,0.84990789,NA,NA,0.52,0.84,4.82,NA,NA,1,466,15.248,"",4584,4.63,-0.94,0.75,0.7,0.11,"[Fe/H]",2.24
"Kepler-158","b","Kepler-158 b","Transit",2014,16.709184,0.111,NA,5.14,2.12,2.96,NA,13.63,1,351,14.417,"",4623,4.66,-0.836,0.75,0.62,-0.03,"[Fe/H]",3.98
"Kepler-158","c","Kepler-158 c","Transit",2014,28.551383,0.158,NA,4.27,1.9,3.42,NA,6.68,1,351,14.417,"",4623,4.66,-0.836,0.75,0.62,-0.03,"[Fe/H]",3.98
"Kepler-1580","b","Kepler-1580 b","Transit",2016,56.6449279,NA,NA,5.1,2.11,2.98,NA,83.09,1,872,12.576,"",6228,3.94,0.867,1.47,2.15,0.12,"[Fe/H]",2.75
"Kepler-1581","b","Kepler-1581 b","Transit",2016,6.28385491,NA,NA,0.437,0.8,4.69,NA,470.86,1,443,12.353,"",6022,4.31,0.325,1.12,1.23,0.07,"[Fe/H]",4.17
"Kepler-1582","b","Kepler-1582 b","Transit",2016,4.83817712,NA,NA,2.83,1.49,4.7,NA,4.37,1,112,16.414,"",3208,4.93,-2.07,0.28,0.3,0.48,"[Fe/H]",7.76
"Kepler-1583","b","Kepler-1583 b","Transit",2016,9.32807355,NA,NA,0.156,0.6,3.97,NA,124.31,1,357,12.841,"",5645,4.49,-0.031,0.94,0.91,-0.07,"[Fe/H]",4.27
"Kepler-1584","b","Kepler-1584 b","Transit",2016,13.3997099,NA,NA,3.22,1.61,4.24,NA,162.54,1,1325,14.884,"",6069,4.37,0.255,1.1,1.13,0,"[Fe/H]",3.31
"Kepler-1585","b","Kepler-1585 b","Transit",2016,3.5827463,NA,NA,3.86,1.79,3.7,NA,182.94,1,1269,15.977,"",5538,4.5,-0.495,0.94,0.91,0.08,"[Fe/H]",4.37
"Kepler-1586","b","Kepler-1586 b","Transit",2016,15.6049212,NA,NA,2.92,1.52,4.57,NA,105.77,1,864,13.056,"",6681,4.12,0.148,1.45,1.75,0.06,"[Fe/H]",1.7
"Kepler-1587","b","Kepler-1587 b","Transit",2016,9.4060467,NA,NA,2.33,1.33,5.44,NA,254.7,1,907,14.032,"",5933,4.3,0.307,1.08,1.22,0.07,"[Fe/H]",5.01
"Kepler-1588","b","Kepler-1588 b","Transit",2016,7.84931739,NA,NA,0.363,0.76,4.54,NA,359.79,1,658,13.821,"",5817,4.43,0.297,0.96,0.99,-0.14,"[Fe/H]",5.5
"Kepler-1589","b","Kepler-1589 b","Transit",2016,0.99166527,NA,NA,1.32,1.09,5.6,NA,5228.78,1,1418,14.965,"",6166,4.32,0.284,1.18,1.25,0.08,"[Fe/H]",2.75
"Kepler-159","b","Kepler-159 b","Transit",2014,10.139623,0.082,NA,6.26,2.38,2.55,448,33.46,1,397,14.888,"M0 V",4625,4.65,-0.775,0.76,0.66,-0.28,"[M/H]",2.51
"Kepler-159","c","Kepler-159 c","Transit",2014,43.595792,0.218,NA,11.5,3.41,1.59,275,4.79,1,397,14.888,"M0 V",4625,4.65,-0.775,0.76,0.66,-0.28,"[M/H]",2.51
"Kepler-1590","b","Kepler-1590 b","Transit",2016,7.61760804,NA,NA,1.55,1.14,5.75,NA,171.48,1,900,14.077,"",6053,4.35,0.034,1.11,1.16,0.03,"[Fe/H]",3.39
"Kepler-1591","b","Kepler-1591 b","Transit",2016,8.18504949,NA,NA,2.15,1.27,5.77,NA,439.43,1,1090,14.658,"",6082,4.35,0.356,1.1,1.16,0.01,"[Fe/H]",3.24
"Kepler-1592","b","Kepler-1592 b","Transit",2016,3.05710069,NA,NA,2.99,1.54,4.5,NA,1918.34,1,1349,14.786,"",6213,4.29,0.433,1.18,1.28,0.04,"[Fe/H]",2.69
"Kepler-1593","b","Kepler-1593 b","Transit",2016,174.509835,0.546,NA,10.2,3.17,3.03,260,0.89,1,755,15.884,"",4995,4.59,-0.788,0.81,0.77,0.02,"[Fe/H]",3.63
"Kepler-1594","b","Kepler-1594 b","Transit",2016,2.71603809,NA,NA,1.2,1.06,5.54,NA,672.41,1,1100,14.741,"",5946,4.39,-0.02,1.06,1.08,0.03,"[Fe/H]",3.89
"Kepler-1595","b","Kepler-1595 b","Transit",2016,4.56380468,NA,NA,2.04,1.23,6.02,NA,185.57,1,841,15.401,"",5203,4.56,-0.369,0.84,0.8,-0.02,"[Fe/H]",4.68
"Kepler-1596","b","Kepler-1596 b","Transit",2016,66.373379,NA,NA,4.27,1.9,3.42,NA,33.38,1,1166,15.366,"",5706,4.49,0.458,0.95,0.92,-0.11,"[Fe/H]",3.89
"Kepler-1597","b","Kepler-1597 b","Transit",2016,2.94654179,NA,NA,1.2,1.06,5.54,NA,1431.31,1,1255,14.115,"",6377,4.24,0.422,1.25,1.39,0.02,"[Fe/H]",2.4
"Kepler-1598","b","Kepler-1598 b","Transit",2016,4.34195123,NA,NA,0.809,0.95,5.18,NA,308.46,1,734,13.814,"",5940,4.39,-0.052,1.07,1.09,0.04,"[Fe/H]",3.8
"Kepler-1599","b","Kepler-1599 b","Transit",2016,122.363553,NA,NA,3.26,1.62,4.21,NA,8.2,1,1004,14.902,"",5767,4.45,0.206,0.99,0.99,0.02,"[Fe/H]",4.27
"Kepler-16","b","Kepler-16 b","Transit",2011,228.776,0.7048,0.0069,105.833,8.449,0.964,NA,NA,2,61,11.747,"",4450,4.65,-0.903,0.69,0.65,-0.3,"[m/H]",NA
"Kepler-160","b","Kepler-160 b","Transit",2014,4.309427,0.05,NA,2.99,1.54,4.5,NA,396.62,1,841,14.616,"",5857,4.51,0.004,0.97,0.88,-0.01,"[Fe/H]",4.07
"Kepler-160","c","Kepler-160 c","Transit",2014,13.699087,0.109,NA,12.7,3.61,1.48,NA,84.85,1,841,14.616,"",5857,4.51,0.004,0.97,0.88,-0.01,"[Fe/H]",4.07
"Kepler-1600","b","Kepler-1600 b","Transit",2016,386.370548,NA,NA,9.96,3.13,1.78,NA,0.46,1,992,15.814,"",5214,4.55,-0.351,0.86,0.82,0.07,"[Fe/H]",4.68
"Kepler-1601","b","Kepler-1601 b","Transit",2016,2.20921951,NA,NA,0.477,0.82,4.75,NA,999.75,1,660,13.678,"",5869,4.4,0.035,1.04,1.07,0.05,"[Fe/H]",4.27
"Kepler-1602","b","Kepler-1602 b","Transit",2016,11.17931605,NA,NA,2.36,1.34,5.39,NA,124.51,1,815,13.301,"",6296,4.25,0.158,1.22,1.36,0.02,"[Fe/H]",2.51
"Kepler-1603","b","Kepler-1603 b","Transit",2016,2.27163926,NA,NA,2.21,1.29,5.66,NA,4852.41,1,1751,15.34,"",6241,4.28,0.675,1.21,1.31,0.07,"[Fe/H]",2.82
"Kepler-1604","b","Kepler-1604 b","Transit",2016,0.68368426,NA,NA,2.57,1.41,5.04,NA,3567.57,1,562,14.899,"",4976,4.59,-0.561,0.81,0.76,0.02,"[Fe/H]",4.17
"Kepler-1605","b","Kepler-1605 b","Transit",2016,85.7565495,NA,NA,1.28,1.08,5.58,NA,16.73,1,224,12.413,"",5280,4.55,0.429,0.86,0.82,-0.01,"[Fe/H]",4.68
"Kepler-1606","b","Kepler-1606 b","Transit",2016,196.435224,0.6421,NA,4.94,2.07,1.67,324,1.29,1,880,15.106,"",5422,4.53,-0.292,0.9,0.86,0.01,"[Fe/H]",4.27
"Kepler-1607","b","Kepler-1607 b","Transit",2016,13.6473676,NA,NA,0.721,0.92,5.09,NA,449.63,1,735,13.875,"",6116,4.33,0.59,1.14,1.21,0.05,"[Fe/H]",3.16
"Kepler-1608","b","Kepler-1608 b","Transit",2016,16.4735686,NA,NA,3.64,1.73,3.86,NA,NA,1,832,15.895,"",4992,4.61,-0.537,0.75,0.72,-0.24,"[Fe/H]",5.13
"Kepler-1609","b","Kepler-1609 b","Transit",2016,114.34219,NA,NA,5.56,2.22,2.79,NA,12.97,1,1483,14.937,"",6132,4.29,0.464,1.18,1.27,0.1,"[Fe/H]",3.02
"Kepler-161","b","Kepler-161 b","Transit",2014,4.921355,0.054,NA,12.1,2.12,6.98,NA,123.4,1,464,14.192,"",5078,4.55,-0.469,0.86,0.81,0.07,"[Fe/H]",4.68
"Kepler-161","c","Kepler-161 c","Transit",2014,7.06424,0.068,NA,11.8,2.05,7.53,NA,76.2,1,464,14.192,"",5078,4.55,-0.469,0.86,0.81,0.07,"[Fe/H]",4.68
"Kepler-1610","b","Kepler-1610 b","Transit",2016,8.70181574,NA,NA,3.22,1.61,4.24,NA,56.21,1,1063,15.814,"",5383,4.52,-0.509,0.91,0.87,0.1,"[Fe/H]",4.68
"Kepler-1611","b","Kepler-1611 b","Transit",2016,5.1762429,NA,NA,0.457,0.81,4.73,NA,NA,1,686,14.412,"",5605,4.49,-0.113,0.94,0.93,0.01,"[Fe/H]",5.01
"Kepler-1612","b","Kepler-1612 b","Transit",2016,3.91795101,NA,NA,1.08,1.03,5.43,NA,269.25,1,837,14.716,"",5643,4.48,-0.211,0.96,0.94,0.03,"[Fe/H]",4.57
"Kepler-1613","b","Kepler-1613 b","Transit",2016,1.5184299,NA,NA,4.98,2.08,3.04,NA,6797.62,1,855,14.068,"",6005,4.37,0.638,1.08,1.12,0.01,"[Fe/H]",3.55
"Kepler-1614","b","Kepler-1614 b","Transit",2016,3.9466141,NA,NA,2.83,1.49,4.7,NA,276.37,1,982,15.941,"",5121,4.58,-0.275,0.79,0.76,-0.17,"[Fe/H]",5.5
"Kepler-1615","b","Kepler-1615 b","Transit",2016,47.3126192,NA,NA,4.9,2.06,3.08,NA,31.17,1,940,14.524,"",5865,4.42,0.397,1.04,1.05,0.06,"[Fe/H]",3.89
"Kepler-1616","b","Kepler-1616 b","Transit",2016,6.76284377,NA,NA,1.04,1.02,5.39,NA,724.86,1,862,13.429,"",6266,4.26,0.633,1.21,1.34,0.02,"[Fe/H]",2.75
"Kepler-1617","b","Kepler-1617 b","Transit",2016,27.4785572,NA,NA,1.87,1.2,5.95,NA,64.69,1,813,13.656,"",6167,4.32,0.334,1.15,1.22,0.01,"[Fe/H]",3.02
"Kepler-1618","b","Kepler-1618 b","Transit",2016,6.10826019,NA,NA,2.13,1.26,5.85,NA,903.91,1,1238,13.566,"",6620,4.15,0.647,1.41,1.65,0.04,"[Fe/H]",1.78
"Kepler-1619","b","Kepler-1619 b","Transit",2016,23.6225913,NA,NA,0.363,0.76,4.54,NA,74.64,1,520,13.299,"",5852,4.44,0.301,1,1,-0.07,"[Fe/H]",4.27
"Kepler-162","b","Kepler-162 b","Transit",2014,6.919798,0.069,NA,2.13,1.26,5.85,NA,305.95,1,905,14.223,"",5816,4.44,0.083,1.12,0.96,0.03,"[Fe/H]",3.02
"Kepler-162","c","Kepler-162 c","Transit",2014,19.446355,0.137,NA,9.43,3.03,1.86,NA,77.05,1,905,14.223,"",5816,4.44,0.083,1.12,0.96,0.03,"[Fe/H]",3.02
"Kepler-1620","b","Kepler-1620 b","Transit",2016,101.951829,NA,NA,3.22,1.61,4.24,NA,NA,1,773,13.623,"",6157,4.31,0.293,1.15,1.23,0.03,"[Fe/H]",3.02
"Kepler-1621","b","Kepler-1621 b","Transit",2016,92.263714,NA,NA,5.31,2.16,2.9,NA,14.05,1,1461,15.011,"",6158,4.31,0.332,1.15,1.24,0.03,"[Fe/H]",2.69
"Kepler-1622","b","Kepler-1622 b","Transit",2016,10.8118737,NA,NA,2.76,1.47,4.77,NA,236,1,927,13.344,"",6436,4.2,0.35,1.31,1.5,0.04,"[Fe/H]",2.19
"Kepler-1623","b","Kepler-1623 b","Transit",2016,4.36128348,NA,NA,2.27,1.31,5.55,NA,243.08,1,986,14.924,"",5772,4.44,-0.215,1,1,0.04,"[Fe/H]",4.27
"Kepler-1624","b","Kepler-1624 b","Transit",2016,3.29030452,NA,NA,27.6,5.7,0.819,NA,43.54,1,199,15.668,"",3636,4.78,-1.167,0.5,0.47,0.06,"[Fe/H]",4.47
"Kepler-1625","b","Kepler-1625 b","Transit",2016,287.378949,NA,NA,30.6,6.06,0.756,NA,3.77,1,1213,15.763,"",5677,4.48,0.395,0.96,0.94,0.01,"[Fe/H]",4.37
"Kepler-1626","b","Kepler-1626 b","Transit",2016,4.13962966,NA,NA,4.74,2.02,3.16,NA,1328.65,1,1718,14.224,"",6826,4.08,0.482,1.51,1.85,0.04,"[Fe/H]",1.55
"Kepler-1627","b","Kepler-1627 b","Transit",2016,7.20283653,NA,NA,13.2,3.69,1.44,NA,143.12,1,311,13.049,"",5445,4.54,-0.318,0.87,0.84,-0.1,"[Fe/H]",4.68
"Kepler-1628","b","Kepler-1628 b","Transit",2016,76.378033,NA,NA,33.8,6.43,0.699,NA,NA,1,352,16.953,"",3724,4.74,-1.33,0.55,0.52,0.17,"[Fe/H]",5.13
"Kepler-1629","b","Kepler-1629 b","Transit",2016,3.87595807,NA,NA,0.381,0.77,4.59,NA,315.46,1,390,12.714,"",5776,4.44,-0.148,1.01,1.01,0.05,"[Fe/H]",4.27
"Kepler-163","b","Kepler-163 b","Transit",2014,7.810937,0.078,NA,1.16,1.05,5.51,NA,115.61,1,750,14.38,"",5776,4.52,-0.17,0.98,0.92,0.02,"[Fe/H]",4.27
"Kepler-163","c","Kepler-163 c","Transit",2014,21.347262,0.152,NA,5.73,2.26,2.73,NA,30.24,1,750,14.38,"",5776,4.52,-0.17,0.98,0.92,0.02,"[Fe/H]",4.27
"Kepler-1630","b","Kepler-1630 b","Transit",2016,509.997402,NA,NA,5.43,2.19,2.84,NA,NA,1,278,14.205,"",4736,4.66,-0.716,0.66,0.63,-0.46,"[Fe/H]",5.01
"Kepler-1631","b","Kepler-1631 b","Transit",2016,4.09513932,NA,NA,2.39,1.35,5.34,NA,446.92,1,1190,15.495,"",5679,4.47,-0.042,0.97,0.95,0.04,"[Fe/H]",4.17
"Kepler-1632","b","Kepler-1632 b","Transit",2016,448.303558,NA,NA,6.66,2.47,2.43,NA,6.06,1,584,13.066,"",6137,4.33,0.373,1.12,1.19,0,"[Fe/H]",3.09
"Kepler-1633","b","Kepler-1633 b","Transit",2016,186.404271,NA,NA,3.12,1.58,4.35,NA,26.26,1,811,13.392,"",6256,4.27,0.63,1.2,1.32,0.02,"[Fe/H]",2.82
"Kepler-1634","b","Kepler-1634 b","Transit",2016,374.876239,NA,NA,10.3,3.19,1.74,NA,0.54,1,654,14.486,"",5474,4.51,-0.296,0.92,0.89,0.02,"[Fe/H]",4.47
"Kepler-1635","b","Kepler-1635 b","Transit",2016,469.63111,NA,NA,12.9,3.64,1.47,NA,0.4,1,1084,15.693,"",5347,4.53,-0.285,0.89,0.85,0.06,"[Fe/H]",4.9
"Kepler-1636","b","Kepler-1636 b","Transit",2016,425.47785,NA,NA,10.5,3.23,1.71,NA,1.22,1,1567,15.792,"",5797,4.43,0.198,1.01,1.02,0.03,"[Fe/H]",3.98
"Kepler-1637","b","Kepler-1637 b","Transit",2016,6.10960324,NA,NA,0.64,0.89,4.99,NA,NA,1,506,13.273,"",5789,4.43,0.023,1.02,1.02,0.07,"[Fe/H]",4.17
"Kepler-1638","b","Kepler-1638 b","Transit",2016,259.33683,0.745,NA,4.16,1.87,0.56,304,2.76,1,879,14.748,"",5710,4.47,0.391,0.97,0.95,-0.01,"[Fe/H]",4.37
"Kepler-1639","b","Kepler-1639 b","Transit",2016,9.878482,NA,NA,7.18,2.58,2.3,NA,187.85,1,1168,14.469,"",6150,4.34,0.13,1.12,1.18,-0.03,"[Fe/H]",3.16
"Kepler-164","b","Kepler-164 b","Transit",2014,5.03503,0.058,NA,2.57,1.41,5.04,NA,370.92,1,991,14.233,"",5888,4.33,0.097,1.09,1.15,0,"[Fe/H]",3.47
"Kepler-164","c","Kepler-164 c","Transit",2014,10.945723,0.097,NA,7.9,2.73,2.13,NA,131.49,1,991,14.233,"",5888,4.33,0.097,1.09,1.15,0,"[Fe/H]",3.47
"Kepler-164","d","Kepler-164 d","Transit",2014,28.986769,0.187,NA,6.57,2.45,2.45,NA,35.89,1,991,14.233,"",5888,4.33,0.097,1.09,1.15,0,"[Fe/H]",3.47
"Kepler-1640","b","Kepler-1640 b","Transit",2016,7.5844126,NA,NA,20.7,4.82,1.02,NA,NA,1,1379,14.962,"",6324,4.23,0.47,1.27,1.43,0.1,"[Fe/H]",2.4
"Kepler-1641","b","Kepler-1641 b","Transit",2016,19.672266,NA,NA,9.85,3.11,1.8,NA,82.83,1,961,14.223,"",6152,4.34,0.073,1.12,1.19,-0.02,"[Fe/H]",3.02
"Kepler-1641","c","Kepler-1641 c","Transit",2016,32.657212,NA,NA,9.01,2.95,1.93,NA,42.15,1,961,14.223,"",6152,4.34,0.073,1.12,1.19,-0.02,"[Fe/H]",3.02
"Kepler-1642","b","Kepler-1642 b","Transit",2016,12.2057513,NA,NA,10.3,3.2,1.73,NA,39.91,1,447,14.101,"",5355,4.54,-0.473,0.88,0.84,-0.01,"[Fe/H]",4.47
"Kepler-1642","c","Kepler-1642 c","Transit",2016,6.6513802,NA,NA,7.56,2.66,2.21,NA,89.63,1,447,14.101,"",5355,4.54,-0.473,0.88,0.84,-0.01,"[Fe/H]",4.47
"Kepler-1643","b","Kepler-1643 b","Transit",2016,5.34264507,NA,NA,5.9,2.3,2.66,NA,137.75,1,414,13.827,"",5508,4.52,-0.522,0.92,0.88,-0.01,"[Fe/H]",3.89
"Kepler-1644","b","Kepler-1644 b","Transit",2016,21.0907758,NA,NA,4.19,1.88,3.47,NA,NA,1,592,14.183,"",5499,4.53,-0.215,0.89,0.86,-0.1,"[Fe/H]",4.27
"Kepler-1645","b","Kepler-1645 b","Transit",2016,16.1779561,NA,NA,3.82,1.78,3.72,NA,138.54,1,844,14.441,"",5812,4.43,0.301,1.02,1.02,0.04,"[Fe/H]",4.17
"Kepler-1646","b","Kepler-1646 b","Transit",2016,4.48558383,NA,NA,2.04,1.23,6.02,NA,15.64,1,81,15.655,"",3299,5.01,-2.14,0.24,0.26,0.04,"[Fe/H]",4.68
"Kepler-1647","b","Kepler-1647 b","Transit",2016,1107.5923,2.7205,0.0581,483,11.874,1.59,NA,NA,2,1211.54,13.579,"",6210,4.02,0.644,1.22,1.79,-0.14,"[Fe/H]",4.4
"Kepler-1649","b","Kepler-1649 b","Transit",2017,8.68909,0.0514,0,1.28,1.08,5.58,NA,2.3,1,92.43,16.268,"",3240,4.98,-2.2,0.22,0.25,-0.15,"[Fe/H]",NA
"Kepler-165","b","Kepler-165 b","Transit",2014,8.180848,0.072,NA,5.99,2.32,2.64,NA,59.8,1,581,14.794,"",5211,4.54,-0.492,0.8,0.77,-0.12,"[Fe/H]",5.01
"Kepler-165","c","Kepler-165 c","Transit",2014,15.31299,0.11,NA,5.6,2.23,2.77,NA,25.93,1,581,14.794,"",5211,4.54,-0.492,0.8,0.77,-0.12,"[Fe/H]",5.01
"Kepler-1650","b","Kepler-1650 b","Transit",2017,1.53818001,NA,0.01,0.84,0.96,5.22,NA,54.56,1,120.5,15.739,"",3410,4.73,-1.871,0.33,0.33,-0.11,"[Fe/H]",NA
"Kepler-1651","b","Kepler-1651 b","Transit",2017,9.87863917,NA,0.13,4.04,1.84,3.56,NA,NA,2,69.4,13.072,"",3713,4.72,-1.368,0.52,0.5,-0.16,"[Fe/H]",NA
"Kepler-1652","b","Kepler-1652 b","Transit",2017,38.09722,0.1654,NA,3.19,1.6,9.9,268,0.81,1,252,16.002,"",3638,4.88,-1.638,0.4,0.38,-0.3,"[Fe/H]",3.2
"Kepler-1653","b","Kepler-1653 b","Transit",2017,140.2524,0.4706,NA,5.35,2.17,3.08,284,0.98,1,755,15.429,"",4807,4.62,-0.636,0.72,0.69,-0.18,"[Fe/H]",7.7
"Kepler-1654","b","Kepler-1654 b","Transit",2018,1047.8356,2.026,0.26,158.915,9.18,1.2,206,0.3,1,567.84,13.406,"G5 V",5597,4.3,0.09,1.01,1.18,-0.088,"[Fe/H]",5
"Kepler-1655","b","Kepler-1655 b","Transit",2018,11.8728787,0.103,NA,5,2.213,2.5,NA,155,1,214.58,11.014,"G0 V",6148,4.36,0.123,1.03,1.03,-0.24,"[Fe/H]",2.56
"Kepler-1656","b","Kepler-1656 b","Transit",2018,31.578659,0.197,0.836,48.6,5.02,2.13,651,NA,1,186.88,11.64,"",5731,4.37,-0.004,1.03,1.1,0.19,"[Fe/H]",6.31
"Kepler-166","b","Kepler-166 b","Transit",2014,7.650254,0.072,NA,5.77,2.27,2.71,NA,77.54,1,655,14.685,"",5413,4.62,-0.391,0.88,0.74,-0.03,"[Fe/H]",4.47
"Kepler-166","c","Kepler-166 c","Transit",2014,34.260281,0.195,NA,6.26,2.38,2.55,NA,10.51,1,655,14.685,"",5413,4.62,-0.391,0.88,0.74,-0.03,"[Fe/H]",4.47
"Kepler-166","d","Kepler-166 d","Transit",2016,1.55400393,NA,NA,3.64,1.73,3.86,NA,651.41,1,655,14.685,"",5413,4.62,-0.391,0.88,0.74,-0.03,"[Fe/H]",4.47
"Kepler-167","b","Kepler-167 b","Transit",2014,4.3931632,0.0483,0,3.24,1.615,4.23,914,115.8,1,330,14,"K4",4890,4.61,-0.57,0.77,0.73,-0.03,"[Fe/H]",3.3
"Kepler-167","c","Kepler-167 c","Transit",2014,7.406114,0.0684,0,3.01,1.548,4.46,768,57.7,1,330,14,"K4",4890,4.61,-0.57,0.77,0.73,-0.03,"[Fe/H]",3.3
"Kepler-167","d","Kepler-167 d","Transit",2016,21.803855,0.1405,0.12,1.83,1.194,5.91,536,13.68,1,330,14,"K4",4890,4.61,-0.57,0.77,0.73,-0.03,"[Fe/H]",3.3
"Kepler-167","e","Kepler-167 e","Transit",2016,1071.23228,1.89,0.062,73.4,10.15,0.386,131,0.07,1,330,14,"K4",4890,4.61,-0.57,0.77,0.73,-0.03,"[Fe/H]",3.3
