"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"K2-95","b","K2-95 b","Transit",2016,10.134016,0.0696,0.16,10.99,3.88,1.03,383,NA,1,180.63,16.084,"M3.0",3548,4.84,-1.635,0.44,0.42,-0.03,"[Fe/H]",0.79
"K2-97","b","K2-97 b","Transit",2016,8.406726,0.086,NA,152.5584,10.61,0.702,1499,NA,1,869.76,12.611,"",4717,3.22,0.919,1.2,4.47,0.33,"[Fe/H]",7.8
"K2-98","b","K2-98 b","Transit",2016,10.136448,0.0974,0,32.2,5.2,2.15,1092,NA,1,526.31,12.166,"F8 V",6172,4.13,0.489,1.2,1.57,-0.06,"[Fe/H]",5.2
"K2-99","b","K2-99 b","Transit",2016,18.251985,0.1597,0.19,308.2951,11.73,1.05,1113,NA,1,522.29,11.149,"G0 IV",6217,3.81,0.931,1.63,2.63,0.21,"[Fe/H]",2.4
"KELT-1","b","KELT-1 b","Transit",2012,1.217514,0.02466,0.0099,8654.15,12.442,24.7,NA,NA,1,262,10.701,"",6518,NA,0.542,1.32,1.46,NA,"",NA
"KELT-10","b","KELT-10 b","Transit",2016,4.1662739,0.0525,NA,215.80657,15.681,0.308,1377,600,1,183,10.854,"G0 V",5948,4.32,0.217,1.11,1.21,0.09,"[Fe/H]",4.5
"KELT-11","b","KELT-11 b","Transit",2017,4.736529,0.06229,0,61.97685,15.356,0.093,1712,1433,1,98,8.037,"G8/K0 IV",5370,3.73,0.744,1.44,2.72,0.18,"[Fe/H]",NA
"KELT-12","b","KELT-12 b","Transit",2017,5.031623,0.06708,0,301.9385,19.952,0.209,1800,1749,1,360,10.59,"",6279,3.89,0.892,1.59,2.37,0.19,"[Fe/H]",2.2
"KELT-14","b","KELT-14 b","Transit",2016,1.7100566,0.03005,0,408.09372,19.537,0.322,1970,NA,1,266,11,"G4",5720,4.17,0.344,1.24,1.52,0.32,"[Fe/H]",5.11
"KELT-15","b","KELT-15 b","Transit",2016,3.32944,0.04613,0,416.3573,19.504,0.36,1642,NA,1,291,11.189,"",6003,4.17,0.47,2.06,1.78,0.05,"[Fe/H]",NA
"KELT-16","b","KELT-16 b","Transit",2017,0.9689951,0.02044,0,874.0325,15.861,1.2,2453,NA,2,450.28,11.898,"F7 V",6236,4.25,0.401,1.21,1.36,-0.002,"[Fe/H]",3.1
"KELT-17","b","KELT-17 b","Transit",2016,3.0801716,0.04881,NA,416.3573,17.094,0.46,2087,NA,1,210,9.286,"A",7454,4.22,0.876,1.64,1.65,-0.018,"[Fe/H]",0.65
"KELT-18","b","KELT-18 b","Transit",2017,2.8717518,0.0455,0,375.0394,17.598,0.377,2085,3152,1,311,10.117,"F4 V",6670,4.06,0.813,1.52,1.91,0.09,"[Fe/H]",1.9
"KELT-19 A","b","KELT-19 A b","Transit",2017,4.6117093,0.0637,NA,1293.5681,21.409,0.744,1935,2340,2,302.8,9.885,"A8 V",7500,4.13,0.978,1.62,1.83,-0.12,"[Fe/H]",NA
"KELT-2 A","b","KELT-2 A b","Transit",2012,4.11379,0.05496,0,540.311,15.132,0.857,NA,NA,1,134.57,8.713,"F8",6327,4.5,0.689,1.54,1.93,0,"[Fe/H]",NA
"KELT-20","b","KELT-20 b","Transit",2017,3.4741085,0.0542,0,1074.90106,19.515,0.806,2262,4362.5,1,139.7,7.58,"A2 V",8720,4.29,1.104,1.76,1.56,-0.29,"[Fe/H]",0.6
"KELT-21","b","KELT-21 b","Transit",2018,3.6127647,0.05224,0,1242.7153,17.777,1.24,2051,2950,1,415,10.541,"A8 V",7598,4.17,0.905,1.46,1.64,-0.405,"[Fe/H]",1.6
